127.0.0.1 - - [30/Aug/2018:00:00:37 +0800] "POST /Daily/ds.do?msg_signature=ee25d932c9bfca7cae8391faea9ec2cac446f511&timestamp=1535558438&nonce=1536076334 HTTP/1.1" 200 537
127.0.0.1 - - [30/Aug/2018:23:37:01 +0800] "POST /Daily/ds.do?msg_signature=2141e9252c1f8d58f5c70f44332a7d93c1fb1b58&timestamp=1535643422&nonce=1535699565 HTTP/1.1" 200 537
127.0.0.1 - - [30/Aug/2018:23:37:01 +0800] "GET /Daily/querydaily.do HTTP/1.1" 302 -
127.0.0.1 - - [30/Aug/2018:23:37:01 +0800] "GET /Daily/common/role.jsp HTTP/1.1" 200 1146
127.0.0.1 - - [30/Aug/2018:23:37:03 +0800] "POST /Daily/ds.do?msg_signature=60228612e00a73e08b7dc4def36b7485169aca21&timestamp=1535643425&nonce=1535724433 HTTP/1.1" 200 537
127.0.0.1 - - [30/Aug/2018:23:37:03 +0800] "GET /Daily/queryManager.do HTTP/1.1" 302 -
127.0.0.1 - - [30/Aug/2018:23:37:04 +0800] "GET /Daily/manager/query_daily_manager.jsp HTTP/1.1" 200 11327
127.0.0.1 - - [30/Aug/2018:23:37:05 +0800] "GET /Daily/initManager.do HTTP/1.1" 200 12
127.0.0.1 - - [30/Aug/2018:23:37:05 +0800] "POST /Daily/initManager.do HTTP/1.1" 200 192
127.0.0.1 - - [30/Aug/2018:23:37:07 +0800] "POST /Daily/queryManager.do HTTP/1.1" 200 385
127.0.0.1 - - [30/Aug/2018:23:37:43 +0800] "POST /Daily/ds.do?msg_signature=7f172a789d3fcb64ccb9a6260b258c1f25846f8c&timestamp=1535643464&nonce=1535859590 HTTP/1.1" 200 537
127.0.0.1 - - [30/Aug/2018:23:37:43 +0800] "GET /Daily/queryManager.do HTTP/1.1" 302 -
127.0.0.1 - - [30/Aug/2018:23:37:43 +0800] "GET /Daily/manager/query_daily_manager.jsp HTTP/1.1" 200 11331
127.0.0.1 - - [30/Aug/2018:23:37:43 +0800] "POST /Daily/initManager.do HTTP/1.1" 200 192
127.0.0.1 - - [30/Aug/2018:23:37:43 +0800] "GET /Daily/initManager.do HTTP/1.1" 200 12
127.0.0.1 - - [30/Aug/2018:23:37:47 +0800] "POST /Daily/queryManager.do HTTP/1.1" 200 385
127.0.0.1 - - [30/Aug/2018:23:37:49 +0800] "GET /Daily/manager/query_daily_manager.jsp HTTP/1.1" 200 11331
127.0.0.1 - - [30/Aug/2018:23:37:49 +0800] "GET /Daily/jQuery_WeUI/css/jquery-weui.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:37:49 +0800] "GET /Daily/jQuery_WeUI/lib/weui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:37:49 +0800] "GET /Daily/assets/css/demos.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:37:49 +0800] "GET /Daily/assets/jquery.cookie.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:37:49 +0800] "GET /Daily/jQuery_WeUI/lib/jquery-2.1.4.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:37:49 +0800] "GET /Daily/jQuery_WeUI/js/jquery-weui.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:37:49 +0800] "GET /Daily/jQuery_WeUI/lib/fastclick.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:37:49 +0800] "GET /Daily/assets/jquery.cookie.js?_t1535643470725=0i HTTP/1.1" 200 3095
127.0.0.1 - - [30/Aug/2018:23:37:49 +0800] "GET /Daily/initManager.do HTTP/1.1" 200 12
127.0.0.1 - - [30/Aug/2018:23:37:49 +0800] "POST /Daily/initManager.do HTTP/1.1" 200 192
127.0.0.1 - - [30/Aug/2018:23:37:50 +0800] "POST /Daily/queryManager.do HTTP/1.1" 200 385
127.0.0.1 - - [30/Aug/2018:23:37:56 +0800] "GET /Daily/manager/query_daily_manager.jsp HTTP/1.1" 200 11331
127.0.0.1 - - [30/Aug/2018:23:37:56 +0800] "GET /Daily/assets/css/demos.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:37:56 +0800] "GET /Daily/jQuery_WeUI/lib/weui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:37:56 +0800] "GET /Daily/assets/jquery.cookie.js HTTP/1.1" 200 3095
127.0.0.1 - - [30/Aug/2018:23:37:56 +0800] "GET /Daily/jQuery_WeUI/css/jquery-weui.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:37:56 +0800] "GET /Daily/jQuery_WeUI/lib/jquery-2.1.4.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:37:56 +0800] "GET /Daily/jQuery_WeUI/js/jquery-weui.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:37:56 +0800] "GET /Daily/jQuery_WeUI/lib/fastclick.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:37:56 +0800] "GET /Daily/initManager.do HTTP/1.1" 200 12
127.0.0.1 - - [30/Aug/2018:23:37:56 +0800] "POST /Daily/initManager.do HTTP/1.1" 200 192
127.0.0.1 - - [30/Aug/2018:23:37:59 +0800] "POST /Daily/queryManager.do HTTP/1.1" 200 385
127.0.0.1 - - [30/Aug/2018:23:38:02 +0800] "GET /Daily/manager/query_daily_manager.jsp HTTP/1.1" 200 11331
127.0.0.1 - - [30/Aug/2018:23:38:02 +0800] "GET /Daily/assets/css/demos.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:38:02 +0800] "GET /Daily/jQuery_WeUI/lib/weui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:38:02 +0800] "GET /Daily/jQuery_WeUI/css/jquery-weui.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:38:02 +0800] "GET /Daily/assets/jquery.cookie.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:38:03 +0800] "GET /Daily/jQuery_WeUI/lib/fastclick.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:38:03 +0800] "GET /Daily/jQuery_WeUI/js/jquery-weui.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:38:03 +0800] "GET /Daily/jQuery_WeUI/lib/jquery-2.1.4.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:38:03 +0800] "GET /Daily/initManager.do HTTP/1.1" 200 12
127.0.0.1 - - [30/Aug/2018:23:38:03 +0800] "POST /Daily/initManager.do HTTP/1.1" 200 192
127.0.0.1 - - [30/Aug/2018:23:43:06 +0800] "POST /Daily/ds.do?msg_signature=1e4f32d88bfe8431f878da22696878a67b96b522&timestamp=1535643787&nonce=1535295174 HTTP/1.1" 200 537
127.0.0.1 - - [30/Aug/2018:23:43:06 +0800] "GET /Daily/report.do HTTP/1.1" 302 -
127.0.0.1 - - [30/Aug/2018:23:43:06 +0800] "GET /Daily/admin/report_manage.jsp HTTP/1.1" 200 11624
127.0.0.1 - - [30/Aug/2018:23:43:07 +0800] "POST /Daily/initManager.do HTTP/1.1" 200 12
127.0.0.1 - - [30/Aug/2018:23:43:07 +0800] "GET /Daily/initManager.do HTTP/1.1" 200 12
127.0.0.1 - - [30/Aug/2018:23:43:12 +0800] "POST /Daily/reportAdmin.do HTTP/1.1" 200 358
127.0.0.1 - - [30/Aug/2018:23:43:14 +0800] "GET /Daily/admin/report_manage.jsp HTTP/1.1" 200 11624
127.0.0.1 - - [30/Aug/2018:23:43:14 +0800] "GET /Daily/jQuery_WeUI/css/jquery-weui.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:43:14 +0800] "GET /Daily/jQuery_WeUI/lib/weui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:43:14 +0800] "GET /Daily/assets/css/demos.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:43:14 +0800] "GET /Daily/jQuery_WeUI/lib/jquery-2.1.4.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:43:14 +0800] "GET /Daily/jQuery_WeUI/lib/fastclick.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:43:14 +0800] "GET /Daily/jQuery_WeUI/js/jquery-weui.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:43:14 +0800] "POST /Daily/initManager.do HTTP/1.1" 200 12
127.0.0.1 - - [30/Aug/2018:23:43:14 +0800] "GET /Daily/initManager.do HTTP/1.1" 200 12
127.0.0.1 - - [30/Aug/2018:23:43:23 +0800] "POST /Daily/reportAdmin.do HTTP/1.1" 200 358
127.0.0.1 - - [30/Aug/2018:23:43:27 +0800] "POST /Daily/excel.do HTTP/1.1" 200 14
127.0.0.1 - - [30/Aug/2018:23:54:07 +0800] "GET / HTTP/1.1" 404 1074
127.0.0.1 - - [30/Aug/2018:23:54:21 +0800] "GET /Daily/report.do HTTP/1.1" 302 -
127.0.0.1 - - [30/Aug/2018:23:54:22 +0800] "GET /Daily/admin/report_manage.jsp HTTP/1.1" 200 11624
127.0.0.1 - - [30/Aug/2018:23:54:22 +0800] "POST /Daily/ds.do?msg_signature=e806cf50b2fa7edc44b381404839ec4a65e6fabb&timestamp=1535644462&nonce=1535423435 HTTP/1.1" 200 537
127.0.0.1 - - [30/Aug/2018:23:54:22 +0800] "GET /Daily/initManager.do HTTP/1.1" 200 12
127.0.0.1 - - [30/Aug/2018:23:54:22 +0800] "POST /Daily/initManager.do HTTP/1.1" 200 192
127.0.0.1 - - [30/Aug/2018:23:54:27 +0800] "POST /Daily/reportAdmin.do HTTP/1.1" 200 358
127.0.0.1 - - [30/Aug/2018:23:54:30 +0800] "GET /Daily/admin/report_manage.jsp HTTP/1.1" 200 11624
127.0.0.1 - - [30/Aug/2018:23:54:31 +0800] "GET /Daily/jQuery_WeUI/css/jquery-weui.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:54:31 +0800] "GET /Daily/assets/css/demos.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:54:31 +0800] "GET /Daily/jQuery_WeUI/lib/weui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:54:31 +0800] "GET /Daily/jQuery_WeUI/lib/jquery-2.1.4.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:54:31 +0800] "GET /Daily/jQuery_WeUI/js/jquery-weui.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:54:31 +0800] "GET /Daily/jQuery_WeUI/lib/fastclick.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:54:31 +0800] "GET /Daily/initManager.do HTTP/1.1" 200 12
127.0.0.1 - - [30/Aug/2018:23:54:31 +0800] "POST /Daily/initManager.do HTTP/1.1" 200 192
127.0.0.1 - - [30/Aug/2018:23:54:33 +0800] "POST /Daily/reportAdmin.do HTTP/1.1" 200 358
127.0.0.1 - - [30/Aug/2018:23:54:34 +0800] "GET /Daily/admin/report_manage.jsp HTTP/1.1" 200 11624
127.0.0.1 - - [30/Aug/2018:23:54:34 +0800] "GET /Daily/jQuery_WeUI/lib/weui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:54:34 +0800] "GET /Daily/assets/css/demos.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:54:34 +0800] "GET /Daily/jQuery_WeUI/css/jquery-weui.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:54:34 +0800] "GET /Daily/jQuery_WeUI/lib/jquery-2.1.4.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:54:34 +0800] "GET /Daily/jQuery_WeUI/js/jquery-weui.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:54:34 +0800] "GET /Daily/jQuery_WeUI/lib/fastclick.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Aug/2018:23:54:35 +0800] "GET /Daily/initManager.do HTTP/1.1" 200 12
127.0.0.1 - - [30/Aug/2018:23:54:35 +0800] "POST /Daily/initManager.do HTTP/1.1" 200 192
